medalistID,Name,Sex,Age,Height,Weight,Team,NOC,Season,Sport,TopMedal,TotalMedals
5561,Nickel Ashmeade,M,26,183,77,Jamaica,JAM,Summer,Athletics,3,1
5575,Ruslan Nuraliyevich Ashuraliyev,M,22,174,74,Soviet Union,URS,Summer,Wrestling,1,1
5577,Jessica Ashwood,F,23,173,64,Australia,AUS,Summer,Swimming,2,1
5578,"Gerald Howard ""Gerry"" Ashworth",M,22,180,75,United States,USA,Summer,Athletics,3,1
5579,Jeanne Chesley Ashworth (-Walker-),F,21,157,57,United States,USA,Winter,Speed Skating,1,1
5588,Dimitra Asilian,F,32,170,60,Greece,GRE,Summer,Water Polo,2,1
5611,Arvo Askola,M,26,174,65,Finland,FIN,Summer,Athletics,2,1
5615,Khurshid Aslam,M,24,179,70,Pakistan,PAK,Summer,Hockey,3,1
5625,Fuad Aslanov,M,21,175,74,Azerbaijan,AZE,Summer,Boxing,1,1
5630,Karl Peter slin,M,25,179,79,Sweden,SWE,Winter,Ice Hockey,1,1
5631,"Kosovare ""Kosse"" Asllani",F,27,166,56,Sweden,SWE,Summer,Football,2,1
5632,Brahim Asloum,M,21,165,48,France,FRA,Summer,Boxing,3,1
5637,Viktor Karpovich Asmayev,M,32,172,71,Soviet Union,URS,Summer,Equestrianism,3,1
5643,Gunnar Henry Asmussen,M,24,184,72,Denmark,DEN,Summer,Cycling,3,1
5652,Simon Olof Karl Aspelin,M,34,185,79,Sweden-2,SWE,Summer,Tennis,2,1
5655,Karl-ke Asph,M,24,184,72,Sweden,SWE,Winter,Cross Country Skiing,3,1
5670,Valerio Aspromonte,M,25,187,84,Italy,ITA,Summer,Fencing,3,1
5687,Sofia Assefa Abebe,F,24,167,52,Ethiopia,ETH,Summer,Athletics,1,1
5692,Jenni Anna Christina Asserholt,F,17,172,71,Sweden,SWE,Winter,Ice Hockey,2,1
5698,"Alina (Galina-) Astafei (-Stavariu, -Kreiig)",F,23,181,59,Romania,ROU,Summer,Athletics,2,1
5700,Polina Hryhorivna Astakhova,F,20,166,56,Soviet Union,URS,Summer,Gymnastics,3,10
5702,Igor Vyacheslavovich Astapkovich,M,29,192,120,Unified Team,EUN,Summer,Athletics,2,2
5703,Vladimir Aleksandrovich Astapovsky,M,30,186,82,Soviet Union,URS,Summer,Football,1,1
5706,"Andrew ""Andy"" Astbury",M,23,185,81,Great Britain,GBR,Summer,Swimming,1,1
5714,Mark Astley,M,24,180,84,Canada,CAN,Winter,Ice Hockey,2,1
5724,rad Suleyman Aumova,F,46,158,57,Azerbaijan,AZE,Summer,Shooting,1,1
5732,Halina Aszkieowicz (-Wojno),F,21,179,70,Poland,POL,Summer,Volleyball,1,1
5741,Mahmut Atalay,M,34,171,78,Turkey,TUR,Summer,Wrestling,3,1
5777,Vyacheslav Vladimirovich Atavin,M,21,199,93,Soviet Union,URS,Summer,Handball,3,1
5778,Abbos Atayev,M,26,186,75,Uzbekistan,UZB,Summer,Boxing,1,1
5805,Manzoor Hussain Atif,M,28,187,73,Pakistan,PAK,Summer,Hockey,3,3
5815,"Gillian ""Jill"" Atkins",F,29,165,65,Great Britain,GBR,Summer,Hockey,1,1
5831,"Sidney James Montford ""Sid"" Atkinson",M,23,186,76,South Africa,RSA,Summer,Athletics,3,2
5832,Arnr Atlason,M,24,191,91,Iceland,ISL,Summer,Handball,2,1
5857,"Robert Allan ""Bob"" Attersley",M,26,178,74,Canada,CAN,Winter,Ice Hockey,2,1
5864,Francesco Attolico,M,29,193,85,Italy,ITA,Summer,Water Polo,3,2
5869,Louis Mark Attrill,M,25,193,95,Great Britain,GBR,Summer,Rowing,3,1
5875,Paul Jason Attwood,M,28,180,97,Great Britain,GBR,Winter,Bobsleigh,1,1
5882,"Susanne Jean ""Susie"" Atwood",F,19,170,66,United States,USA,Summer,Swimming,3,3
5883,Fernando Atzori,M,22,158,51,Italy,ITA,Summer,Boxing,3,1
5908,Susan Margaret Auch,F,27,172,65,Canada,CAN,Winter,Speed Skating,2,2
5910,Adrian Mark Aucoin,M,20,188,94,Canada,CAN,Winter,Ice Hockey,2,1
5921,Musa Audu,M,24,174,75,Nigeria,NGR,Summer,Athletics,1,1
